Contam,FrogID,GloveType,DeconType,Status,BdZooEq,GloveLnBdLoad,FrogLnBdLoad,Positive
N,ContC1,Cotton,,,0,0,,0
N,ContC2,Cotton,,,0,0,,0
N,ContN3,Nitrile,,,0,0,,0
N,ContN1,Nitrile,,,0,0,,0
N,ContN2,Nitrile,,,0,0,,0
N,ContC3,Cotton,,,0,0,,0
Y,13A,Cotton,Bleach,After,0,0,,0
Y,13A,Cotton,Bleach,Before,1312.007594,7.180075658,9.297563075,1
Y,13A,Nitrile,Bleach,After,0,0,,0
Y,13A,Nitrile,Bleach,Before,97.14809341,4.586477495,,1
Y,14A,Cotton,Ethanol,After,0,0,,0
Y,14A,Cotton,Ethanol,Before,3513.505619,8.164654145,6.83163843,1
Y,14A,Nitrile,Ethanol,After,0,0,,0
Y,14A,Nitrile,Ethanol,Before,0.142747571,0.133435512,,1
Y,15A,Cotton,Bleach,After,0,0,,0
Y,15A,Cotton,Bleach,Before,446.5612713,6.103813447,7.271651143,1
Y,15A,Nitrile,Bleach,After,0,0,,0
Y,15A,Nitrile,Bleach,Before,0,0,,0
Y,16A,Cotton,Ethanol,After,0,0,,0
Y,16A,Cotton,Ethanol,Before,646.9076764,6.473748212,7.693390059,1
Y,16A,Nitrile,Ethanol,After,0,0,,0
Y,16A,Nitrile,Ethanol,Before,0,0,,0
Y,17A,Cotton,Bleach,After,0,0,,0
Y,17A,Cotton,Bleach,Before,336.7993037,5.822451943,10.02726931,1
Y,17A,Nitrile,Bleach,After,0,0,,0
Y,17A,Nitrile,Bleach,Before,0,0,,0
Y,18A,Cotton,Ethanol,After,0,0,,0
Y,18A,Cotton,Ethanol,Before,487.4349836,6.191206369,8.537623472,1
Y,18A,Nitrile,Ethanol,After,0,0,,0
Y,18A,Nitrile,Ethanol,Before,4.262424049,1.660591766,,1
Y,19A,Cotton,Bleach,After,0,0,,0
Y,19A,Cotton,Bleach,Before,0,0,4.515084177,0
Y,19A,Nitrile,Bleach,After,0,0,,0
Y,19A,Nitrile,Bleach,Before,0,0,,0
Y,20A,Cotton,Ethanol,After,0,0,,0
Y,20A,Cotton,Ethanol,Before,3044.271375,8.021345298,9.072481078,1
Y,20A,Nitrile,Ethanol,After,0,0,,0
Y,20A,Nitrile,Ethanol,Before,0,0,,0
Y,21A,Cotton,Bleach,After,0,0,,0
Y,21A,Cotton,Bleach,Before,293.4896611,5.685243896,11.18815801,1
Y,21A,Nitrile,Bleach,After,0.569983427,0.451065063,,1
Y,21A,Nitrile,Bleach,Before,0,0,,0
Y,22A,Cotton,Ethanol,After,0,0,,0
Y,22A,Cotton,Ethanol,Before,0,0,7.974135067,0
Y,22A,Nitrile,Ethanol,After,0,0,,0
Y,23A,Cotton,Bleach,After,0,0,,0
Y,23A,Cotton,Bleach,Before,34.04134399,3.556528621,9.522294301,1
Y,23A,Nitrile,Bleach,After,0,0,,0
Y,24A,Cotton,Ethanol,After,0,0,,0
Y,24A,Cotton,Ethanol,Before,2075.989298,7.638674671,8.054763672,1
Y,24A,Nitrile,Ethanol,After,0,0,,0
Y,24A,Nitrile,Ethanol,Before,0,0,,0
